ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA,Description,Enery_kcal,Protein,Sodium,SaturatedFat,Cholesterol,Potassium,VitaminD,FoodGroup_Encoded
11796,,,,,-0.621686026565551,-0.17413224699092467,0.030449677272102082,,,,,0.257737273257259,0.03058395890730798,,,,,-0.22199628741282434,,-0.31559735385864623,,,,,,,,,,,,,,,,,,,,,"LOTUS ROOT,CKD,BLD,DRND,W/SALT",66.0,1.58,281.0,0.021,0.0,363.0,0.0,25
11797,,,,,-0.5975607630587899,-0.5645823924675244,-0.42104938621767546,,,,,-0.07261641778817521,-0.3312207784757172,,,,,-0.3172129461464,,-0.17529212691295284,,,,,,,,,,,,,,,,,,,,,"MUSHROOMS,WHITE,CKD,BLD,DRND,W/ SALT",28.0,2.17,238.0,0.061,0.0,356.0,0.2,25
11798,,,,,-0.6126390527505157,-0.23344573600554322,-0.30658239216619,,,,,-0.12485183047484641,-0.33366960454494476,,,,,-0.33149544495643635,,-0.3924311686146212,,,,,,,,,,,,,,,,,,,,,"MUSHROOMS,SHIITAKE,CKD,W/SALT",56.0,1.56,240.0,0.05,0.0,117.0,0.7,25
11799,,,,,-0.6114327895751775,-0.680662165447054,-0.5919867640012271,,,,,0.228090147137797,-0.03736165016840474,,,,,0.006523693547757218,,-0.34900336027428747,,,,,,,,,,,,,,,,,,,,,"MUSTARD GRNS,CKD,BLD,DRND,W/SALT",15.0,2.26,252.0,0.012,0.0,202.0,0.0,25
11800,,,,,-0.6108296579875085,-0.6439096354441309,-0.5751982715403425,,,,,0.06573683743598101,-0.0030780851992182542,,,,,0.13506618283808436,,-0.2788507468014408,,,,,,,,,,,,,,,,,,,,,"MUSTARD GRNS,FRZ,CKD,BLD,DRND,W/SALT",19.0,2.27,261.0,0.013,0.0,139.0,0.0,25
11801,,,,,-0.6138453159258538,-0.6551901149499786,0.030449677272102082,,,,,0.7885620075866746,0.03058395890730798,,,,,0.406433660228775,,-0.3323003570664669,,,,,,,,,,,,,,,,,,,,,"MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,W/SALT",16.0,1.7,250.0,3.452267130383306,0.0,285.0,0.0,25
11802,,,,,-0.6156547106888608,-0.6795705061400366,-0.5805400645960785,,,,,0.09679573146589363,-0.03246399802994952,,,,,-0.11725796280589112,,-0.35568456155741573,,,,,,,,,,,,,,,,,,,,,"NEW ZEALAND SPINACH,CKD,BLD,DRND,W/SALT",12.0,1.3,343.0,0.027,0.0,102.0,0.0,25
11803,,,,,-0.6132421843381847,-0.5929655344499799,-0.41647070645561607,,,,,0.10103103519724535,-0.26755130067579946,,,,,0.020806192357793567,,-0.41915597374713415,,,,,,,,,,,,,,,,,,,,,"OKRA,CKD,BLD,DRND,W/SALT",22.0,1.87,241.0,0.045,0.0,135.0,0.0,25
11804,,,,,-0.6114327895751775,-0.5238271116722036,-0.38060438165281724,,,,,0.00644258519705691,-0.25530717032966144,,,,,0.006523693547757218,,-0.37906876604836465,,,,,,,,,,,,,,,,,,,,,"OKRA,FRZ,CKD,BLD,DRND,W/ SALT",34.0,1.63,239.0,0.063,0.0,184.0,0.0,25
11805,,,,,-0.6144484475135228,-0.409202884435364,-0.23866530902897523,,,,,-0.055675202862768315,-0.32877195240648954,,,,,-0.24103961915953948,,-0.4258371750302624,,,,,,,,,,,,,,,,,,,,,"ONIONS,CKD,BLD,DRND,W/SALT",42.0,1.36,239.0,0.031,0.0,166.0,0.0,25
11806,,,,,-0.619876631802544,-0.5387464555347764,-0.3783150417717876,,,,,-0.09238116853448324,-0.3312207784757172,,,,,-0.26960461677961217,,-0.4158153731055701,,,,,,,,,,,,,,,,,,,,,"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",26.0,0.77,248.0,0.016,0.0,108.0,0.0,25
11807,,,,,-0.6228922897408891,-0.5347437047423789,-0.3783150417717876,,,,,-0.0570869707732189,-0.3312207784757172,,,,,-0.21723545447614556,,-0.40913417182244183,,,,,,,,,,,,,,,,,,,,,"ONIONS,FRZ,WHL,CKD,BLD,DRND,W/SALT",26.0,0.71,244.0,0.009,0.0,101.0,0.0,25
